,,,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,,,
Daily,,,,,,,,
WeekendWeeklyMonthlyQuarterlyYearlySeasonsHolidays,,,,,,,,
Daily Box Office For 2016,,,,,,,,
Year,,,,,,,,
,,,,,,,,
2016,,,,,,,,
"Data as of Apr 24, 2:47 PDT",,,,,,,,
Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
31-Dec,Saturday,366,"$48,726,595 ",-20.10%,37.40%,50,Rogue One: A Star Wars Story,"$14,632,828 "
New Year's Eve,,,,,,,,
30-Dec,Friday,365,"$60,985,934 ",14.30%,9.50%,51,Rogue One: A Star Wars Story,"$18,224,317 "
29-Dec,Thursday,364,"$53,356,579 ",-4.50%,35.30%,52,Rogue One: A Star Wars Story,"$16,722,532 "
28-Dec,Wednesday,363,"$55,873,826 ",-16.10%,36.70%,52,Rogue One: A Star Wars Story,"$18,021,482 "
27-Dec,Tuesday,362,"$66,574,257 ",-22.20%,146.50%,50,Rogue One: A Star Wars Story,"$22,515,612 "
26-Dec,Monday,361,"$85,591,349 ",12.90%,234.80%,64,Rogue One: A Star Wars Story,"$32,085,637 "
25-Dec,Sunday,360,"$75,833,566 ",113.90%,43.40%,49,Rogue One: A Star Wars Story,"$25,865,004 "
Christmas Day,,,,,,,,
24-Dec,Saturday,359,"$35,458,836 ",-36.30%,-46%,47,Rogue One: A Star Wars Story,"$15,308,508 "
23-Dec,Friday,358,"$55,697,825 ",41.20%,-34.50%,47,Rogue One: A Star Wars Story,"$22,860,256 "
22-Dec,Thursday,357,"$39,444,486 ",-3.50%,634%,51,Rogue One: A Star Wars Story,"$16,773,075 "
21-Dec,Wednesday,356,"$40,884,496 ",51.40%,574.80%,52,Rogue One: A Star Wars Story,"$14,965,790 "
20-Dec,Tuesday,355,"$27,004,546 ",5.60%,225.70%,45,Rogue One: A Star Wars Story,"$17,582,978 "
19-Dec,Monday,354,"$25,568,518 ",-51.70%,335.60%,47,Rogue One: A Star Wars Story,"$17,596,150 "
18-Dec,Sunday,353,"$52,891,489 ",-19.50%,181.20%,48,Rogue One: A Star Wars Story,"$37,679,172 "
17-Dec,Saturday,352,"$65,707,159 ",-22.70%,106.50%,50,Rogue One: A Star Wars Story,"$46,308,115 "
16-Dec,Friday,351,"$84,996,975 ",1481.80%,305.10%,49,Rogue One: A Star Wars Story,"$71,094,394 "
15-Dec,Thursday,350,"$5,373,598 ",-11.30%,1.60%,48,Moana,"$1,298,884 "
14-Dec,Wednesday,349,"$6,058,732 ",-26.90%,8.50%,51,Office Christmas Party,"$1,438,227 "
13-Dec,Tuesday,348,"$8,291,410 ",41.30%,1.20%,50,Office Christmas Party,"$2,042,642 "
12-Dec,Monday,347,"$5,869,223 ",-68.80%,5.30%,48,Office Christmas Party,"$1,404,127 "
11-Dec,Sunday,346,"$18,807,218 ",-40.90%,-20.40%,48,Moana,"$5,601,396 "
10-Dec,Saturday,345,"$31,819,176 ",51.60%,-16.40%,49,Moana,"$8,726,486 "
9-Dec,Friday,344,"$20,983,463 ",296.80%,-5.20%,50,Office Christmas Party,"$6,538,673 "
8-Dec,Thursday,343,"$5,288,833 ",-5.30%,-29.40%,52,Moana,"$1,394,539 "
7-Dec,Wednesday,342,"$5,585,860 ",-31.80%,-28.10%,55,Moana,"$1,390,221 "
6-Dec,Tuesday,341,"$8,190,529 ",47%,-30.10%,54,Moana,"$2,176,133 "
5-Dec,Monday,340,"$5,571,971 ",-76.40%,-34.60%,54,Moana,"$1,419,381 "
4-Dec,Sunday,339,"$23,622,021 ",-38%,-37.50%,53,Moana,"$8,766,289 "
3-Dec,Saturday,338,"$38,079,967 ",72.10%,-42%,54,Moana,"$12,960,057 "
2-Dec,Friday,337,"$22,125,335 ",195.50%,-67.10%,53,Moana,"$6,544,643 "
1-Dec,Thursday,336,"$7,486,507 ",-3.60%,-76.60%,52,Moana,"$1,931,920 "
30-Nov,Wednesday,335,"$7,763,559 ",-33.70%,-81.10%,53,Moana,"$1,990,227 "
29-Nov,Tuesday,334,"$11,712,637 ",37.40%,-40.40%,51,Moana,"$3,181,287 "
28-Nov,Monday,333,"$8,525,150 ",-77.40%,-42.50%,52,Moana,"$2,331,622 "
27-Nov,Sunday,332,"$37,794,022 ",-42.40%,-3.40%,51,Moana,"$13,507,512 "
26-Nov,Saturday,331,"$65,632,359 ",-2.30%,13%,52,Moana,"$21,330,881 "
25-Nov,Friday,330,"$67,182,370 ",110.20%,36.10%,52,Moana,"$21,793,008 "
24-Nov,Thursday,329,"$31,954,618 ",0.60%,-19.40%,51,Moana,"$9,929,639 "
Thanksgiving,,,,,,,,
23-Nov,Wednesday,328,"$41,175,769 ",109.60%,411.80%,53,Moana,"$15,519,234 "
22-Nov,Tuesday,327,"$19,647,586 ",32.60%,62.70%,50,Fantastic Beasts and Where to Find Them,"$9,301,677 "
21-Nov,Monday,326,"$14,815,858 ",-62.10%,72%,52,Fantastic Beasts and Where to Find Them,"$6,758,059 "
20-Nov,Sunday,325,"$39,141,358 ",-32.60%,13.20%,51,Fantastic Beasts and Where to Find Them,"$18,493,911 "
19-Nov,Saturday,324,"$58,063,129 ",17.60%,-1.10%,51,Fantastic Beasts and Where to Find Them,"$26,248,042 "
18-Nov,Friday,323,"$49,376,038 ",612.50%,-6.20%,52,Fantastic Beasts and Where to Find Them,"$29,661,434 "
17-Nov,Thursday,322,"$6,929,684 ",-13.90%,-47.80%,51,Doctor Strange,"$2,089,025 "
16-Nov,Wednesday,321,"$8,044,879 ",-33.40%,-24.60%,51,Doctor Strange,"$2,469,584 "
15-Nov,Tuesday,320,"$12,076,667 ",40.20%,-35.10%,50,Doctor Strange,"$3,717,306 "
14-Nov,Monday,319,"$8,613,839 ",-75.10%,-32.90%,51,Doctor Strange,"$2,638,728 "
13-Nov,Sunday,318,"$34,569,418 ",-41.10%,-27.20%,49,Doctor Strange,"$10,429,233 "
12-Nov,Saturday,317,"$58,692,930 ",11.50%,-19.50%,52,Doctor Strange,"$17,614,185 "
11-Nov,Friday,316,"$52,635,745 ",296.70%,-12.60%,51,Doctor Strange,"$14,926,647 "
10-Nov,Thursday,315,"$13,267,687 ",24.30%,178.60%,58,Doctor Strange,"$5,993,999 "
9-Nov,Wednesday,314,"$10,669,877 ",-42.70%,112.30%,56,Doctor Strange,"$5,061,877 "
8-Nov,Tuesday,313,"$18,609,076 ",44.90%,136.70%,54,Doctor Strange,"$7,658,060 "
7-Nov,Monday,312,"$12,845,729 ",-73%,54.80%,54,Doctor Strange,"$6,209,922 "
6-Nov,Sunday,311,"$47,508,479 ",-34.80%,139.50%,56,Doctor Strange,"$21,104,305 "
5-Nov,Saturday,310,"$72,912,256 ",21%,129.20%,55,Doctor Strange,"$31,368,671 "
4-Nov,Friday,309,"$60,243,405 ",1165%,165.70%,55,Doctor Strange,"$32,585,335 "
3-Nov,Thursday,308,"$4,762,418 ",-5.20%,-33.40%,60,Inferno,"$905,477 "
2-Nov,Wednesday,307,"$5,025,357 ",-36.10%,-28.10%,62,Inferno,"$978,059 "
1-Nov,Tuesday,306,"$7,860,280 ",-5.30%,-25.10%,65,Inferno,"$1,674,404 "
31-Oct,Monday,305,"$8,296,074 ",-62.70%,-69.20%,63,Boo! A Madea Halloween,"$1,941,626 "
Halloween,,,,,,,,
30-Oct,Sunday,304,"$19,835,660 ",-37.60%,-24.40%,63,Boo! A Madea Halloween,"$4,807,333 "
29-Oct,Saturday,303,"$31,805,056 ",40.30%,-29.70%,64,Boo! A Madea Halloween,"$7,802,221 "
28-Oct,Friday,302,"$22,673,471 ",216.90%,-39.80%,64,Inferno,"$5,575,613 "
27-Oct,Thursday,301,"$7,154,373 ",2.30%,13%,69,Jack Reacher: Never Go Back,"$1,454,032 "
26-Oct,Wednesday,300,"$6,993,401 ",-33.40%,20.10%,71,Jack Reacher: Never Go Back,"$1,525,438 "
25-Oct,Tuesday,299,"$10,497,490 ",32.20%,16.20%,70,Jack Reacher: Never Go Back,"$2,449,159 "
24-Oct,Monday,298,"$7,941,621 ",-69.70%,16.10%,71,Jack Reacher: Never Go Back,"$1,828,058 "
23-Oct,Sunday,297,"$26,245,405 ",-42%,20%,74,Boo! A Madea Halloween,"$7,281,034 "
22-Oct,Saturday,296,"$45,231,940 ",20.10%,27.80%,72,Boo! A Madea Halloween,"$11,750,186 "
21-Oct,Friday,295,"$37,648,649 ",494.40%,35.80%,75,Boo! A Madea Halloween,"$9,470,228 "
20-Oct,Thursday,294,"$6,333,793 ",8.70%,-0.20%,72,The Accountant,"$2,003,570 "
19-Oct,Wednesday,293,"$5,825,075 ",-35.50%,-28.50%,69,The Accountant,"$1,841,007 "
18-Oct,Tuesday,292,"$9,036,078 ",32.10%,-11%,69,The Accountant,"$3,106,507 "
17-Oct,Monday,291,"$6,841,043 ",-68.70%,-49.90%,72,The Accountant,"$2,234,024 "
16-Oct,Sunday,290,"$21,863,252 ",-38.20%,-11.90%,70,The Accountant,"$6,076,639 "
15-Oct,Saturday,289,"$35,395,266 ",27.60%,-10.20%,69,The Accountant,"$9,561,314 "
14-Oct,Friday,288,"$27,730,358 ",336.90%,-3.90%,71,The Accountant,"$9,072,320 "
13-Oct,Thursday,287,"$6,346,766 ",-22.10%,-1.70%,65,The Girl on the Train,"$1,851,520 "
12-Oct,Wednesday,286,"$8,144,902 ",-19.70%,27.80%,66,The Girl on the Train,"$2,143,460 "
