movie,num_days,first_date,mn_num_releases,md_num_releases
12 Strong,2,2018-01-19,49,49
1917,7,2020-01-10,49,49
28 Years Later,1,2025-06-20,31,31
80 for Brady,5,2023-02-05,35,35
A Bad Moms Christmas,2,2017-11-01,60,60
A Dog's Purpose,1,2017-02-05,50,50
A Haunting in Venice,4,2023-09-15,37,37
A Madea Family Funeral,1,2019-03-01,61,61
A Minecraft Movie,14,2025-04-04,39,40
A Quiet Place,15,2018-04-06,53,53
A Quiet Place Part II,20,2021-05-28,28,28
A Quiet Place: Day One,1,2024-06-28,38,38
A Simple Favor,1,2018-09-20,68,68
A Star Is Born,5,2018-10-11,63,63
A Working Man,4,2025-03-28,44,42
A Wrinkle in Time,1,2018-03-09,57,57
Abigail,1,2024-04-19,38,38
Abominable,3,2019-09-27,56,57
After Ever Happy,2,2022-09-07,39,39
Aladdin,13,2019-05-24,51,50
Alien: Covenant,1,2017-05-19,54,54
Alien: Romulus,8,2024-08-16,39,37
Alita: Battle Angel,7,2019-02-14,62,62
American Made,5,2017-09-29,62,62
Angel Has Fallen,14,2019-08-23,59,59
Annabelle: Creation,7,2017-08-11,56,55
Ant-Man and the Wasp,7,2018-07-06,49,49
Ant-Man and the Wasp: Quantumania,11,2023-02-17,38,37
Anyone But You,4,2024-01-08,44,45
Aquaman,21,2018-12-21,52,52
Aquaman and the Lost Kingdom,3,2023-12-22,41,41
Argylle,12,2024-02-02,43,42
Attack on Titan: The Last Attack,1,2025-02-10,49,49
Avatar: Fire and Ash,28,2025-12-19,35,35
Avatar: The Way of Water,48,2022-12-16,32,31
Avengers: Endgame,20,2019-04-26,58,58
Avengers: Infinity War,21,2018-04-27,56,55
Baby Driver,2,2017-06-28,50,50
Bad Boys for Life,21,2020-01-17,49,49
Bad Boys: Ride or Die,7,2024-06-07,28,28
Ballerina,1,2025-06-06,29,29
Barbarian,7,2022-09-09,45,45
Barbie,38,2023-07-21,34,33
Batman v Superman: Dawn of Justice,16,2016-03-25,52,52
Baywatch,1,2017-05-25,56,56
Be Natural: The Untold Story of Alice Guy-Blaché,3,2020-03-25,1,1
Beauty and the Beast,18,2017-03-17,49,48
Becky,8,2020-06-05,6,6
Beetlejuice Beetlejuice,20,2024-09-06,41,40
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,7,2020-02-07,45,45
Black Adam,20,2022-10-21,34,34
Black Panther,34,2018-02-16,58,57
Black Panther: Wakanda Forever,34,2022-11-11,30,30
Black Phone 2,9,2025-10-17,45,44
Black Widow,13,2021-07-09,24,23
Blade Runner 2049,11,2017-10-06,64,64
Blue Beetle,3,2023-08-18,34,34
Bob Marley: One Love,15,2024-02-14,43,43
Bohemian Rhapsody,7,2018-11-02,65,65
Boo 2! A Madea Halloween,7,2017-10-20,64,64
Boo! A Madea Halloween,6,2016-10-21,68,68
Bullet Train,19,2022-08-05,36,39
Candyman,7,2021-08-27,32,32
Captain America: Brave New World,21,2025-02-14,45,45
Captain America: Civil War,18,2016-05-06,46,48
Captain Marvel,15,2019-03-08,68,67
Cars 3,5,2017-06-16,50,49
Caught Stealing,1,2025-08-29,40,40
Chainsaw Man - The Movie: Reze Arc,6,2025-10-24,44,44
Challengers,7,2024-04-26,37,36
Christmas with the Chosen: The Messengers,2,2021-12-01,32,32
Civil War,13,2024-04-12,39,39
Cocaine Bear,3,2023-02-24,41,41
Coco,23,2017-11-22,58,58
Come Play,7,2020-10-30,32,31
Crazy Rich Asians,23,2018-08-15,57,58
Creed II,2,2018-11-28,54,54
Creed III,7,2023-03-03,40,40
DC League of Super-Pets,7,2022-07-29,33,33
Deadpool,21,2016-02-12,51,50
Deadpool & Wolverine,28,2024-07-26,36,35
Deadpool 2,7,2018-05-18,56,56
Death on the Nile,6,2022-02-11,36,36
Deepwater Horizon,2,2016-10-05,66,66
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,1,2024-02-23,45,45
Demon Slayer: Kimetsu No Yaiba Infinity Castle,13,2025-09-12,37,37
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,11,2021-04-23,23,24
Den of Thieves,1,2018-01-22,49,49
Den of Thieves: Pantera,3,2025-01-10,38,38
Despicable Me 3,7,2017-06-30,52,52
Despicable Me 4,16,2024-07-03,34,33
Doctor Strange,14,2016-11-04,53,53
Doctor Strange in the Multiverse of Madness,21,2022-05-06,31,30
Dog Man,9,2025-01-31,43,43
Don't Breathe,14,2016-08-26,57,57
Don't Worry Darling,7,2022-09-23,46,46
Downton Abbey,11,2019-09-20,61,62
Dragon Ball Super: Broly,2,2019-01-16,48,48
Dragon Ball Super: Super Hero,7,2022-08-19,36,36
Dumbo,7,2019-03-29,70,70
Dune: Part One,10,2021-10-22,32,31
Dune: Part Two,15,2024-03-01,37,37
Dungeons & Dragons: Honor Among Thieves,5,2023-03-31,36,37
Dunkirk,19,2017-07-21,52,52
Elemental,4,2023-06-22,26,27
Elvis,2,2022-06-24,32,32
Encanto,16,2021-11-24,35,35
Eternals,14,2021-11-05,30,30
Everything Everywhere All at Once,1,2022-05-04,29,29
F1: The Movie,5,2025-06-27,29,29
F9: The Fast Saga,14,2021-06-25,26,28
Fantastic Beasts and Where to Find Them,5,2016-11-18,51,51
Fantastic Beasts: The Crimes of Grindelwald,5,2018-11-16,59,61
Fantastic Beasts: The Secrets of Dumbledore,5,2022-04-15,26,26
Fast & Furious Presents: Hobbs & Shaw,11,2019-08-02,54,54
Fast X,7,2023-05-19,34,33
Fifty Shades Darker,5,2017-02-10,47,47
Fifty Shades Freed,6,2018-02-09,52,50
Final Destination: Bloodlines,7,2025-05-16,40,40
Finding Dory,20,2016-06-17,44,44
Five Nights at Freddy's,14,2023-10-27,37,38
Five Nights at Freddy's 2,3,2025-12-05,37,36
Flight Risk,5,2025-01-24,39,39
Followed,12,2020-06-19,8,8
Ford v Ferrari,7,2019-11-15,57,57
Freaky,12,2020-11-13,25,25
Free Guy,14,2021-08-13,31,31
Frozen II,21,2019-11-22,54,53
Furiosa: A Mad Max Saga,5,2024-05-24,30,30
Get Out,7,2017-02-24,52,52
Ghostbusters,1,2016-07-15,49,49
