Netflix's quarterly revenue 2013-2021,
Revenue generated by Netflix from 1st quarter 2013 to 3rd quarter 2021 (in million U.S. dollars),
,
Q1 2013,1023.96
Q2 2013,1069.37
Q3 2013,1106
Q4 2013,1175.23
Q1 2014,1270.09
Q2 2014,1340.41
Q3 2014,1409.43
Q4 2014,1484.73
Q1 2015,1573.13
Q2 2015,1644.69
Q3 2015,1738.36
Q4 2015,1823.33
Q1 2016,1957.74
Q2 2016,2105.2
Q3 2016,2290.19
Q4 2016,2477.54
Q1 2017,2636.64
Q2 2017,2785.46
Q3 2017,2984.86
Q4 2017,3285.76
Q1 2018,3700.86
Q2 2018,3907.27
Q3 2018,3999.37
Q4 2018,4186.84
Q1 2019,4520.99
Q2 2019,4923.12
Q3 2019,5244.91
Q4 2019,5467.43
Q1 2020,5767.69
Q2 2020,6148.29
Q3 2020,6435.64
Q4 2020,6644.44
Q1 2021,7163.28
Q2 2021,7341.78
Q3 2021,7483.47
