,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2020,,,,,,
2020,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
1,Bad Boys for Life,"$204,417,855 ","3,775","$206,305,244 ",17-Jan,Sony Pictures Releasing
2,1917,"$157,901,466 ","3,987","$159,227,644 ",25-Dec,Universal Pictures
3,Sonic the Hedgehog,"$146,066,470 ","4,198","$148,974,665 ",14-Feb,Paramount Pictures
4,Jumanji: The Next Level,"$124,736,710 ","4,227","$320,314,960 ",13-Dec,Sony Pictures Releasing
5,Star Wars: Episode IX - The Rise of Skywalker,"$124,496,308 ","4,406","$515,202,542 ",20-Dec,Walt Disney Studios Motion Pictures
6,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,"$84,158,461 ","4,236","$84,158,461 ",7-Feb,Warner Bros.
7,Dolittle,"$77,047,065 ","4,155","$77,047,065 ",17-Jan,Universal Pictures
8,Little Women,"$70,508,087 ","3,308","$108,101,214 ",25-Dec,Sony Pictures Releasing
9,The Invisible Man,"$64,914,050 ","3,636","$70,410,000 ",28-Feb,Universal Pictures
10,The Call of the Wild,"$62,342,368 ","3,914","$62,342,368 ",21-Feb,20th Century Studios
11,Onward,"$61,555,145 ","4,310","$61,555,145 ",6-Mar,Walt Disney Studios Motion Pictures
12,Tenet,"$57,235,189 ","2,930","$58,504,105 ",3-Sep,Warner Bros.
13,Knives Out,"$49,651,655 ","3,461","$165,363,234 ",27-Nov,Lionsgate
14,Frozen II,"$47,228,896 ","4,440","$477,373,578 ",22-Nov,Walt Disney Studios Motion Pictures
15,Spies in Disguise,"$37,433,325 ","3,502","$66,757,013 ",25-Dec,20th Century Fox
16,The Gentlemen,"$36,471,397 ","2,675","$36,471,795 ",24-Jan,STX Entertainment
17,Just Mercy,"$35,733,621 ","2,457","$36,001,502 ",25-Dec,Warner Bros.
18,The Croods: A New Age,"$32,334,280 ","2,211","$58,568,815 ",25-Nov,Universal Pictures
19,Parasite,"$30,736,060 ","2,001","$53,369,749 ",11-Oct,Neon
20,Fantasy Island,"$26,441,782 ","2,784","$27,309,289 ",14-Feb,Sony Pictures Releasing
21,Uncut Gems,"$25,789,956 ","2,686","$50,023,780 ",13-Dec,A24
22,The New Mutants,"$24,044,274 ","2,754","$23,852,659 ",28-Aug,20th Century Studios
23,Wonder Woman 1984,"$23,009,311 ","2,218","$46,801,036 ",25-Dec,Warner Bros.
24,Like a Boss,"$22,169,514 ","3,081","$22,169,514 ",10-Jan,Paramount Pictures
25,The Grudge,"$21,221,803 ","2,642","$21,221,803 ",3-Jan,Sony Pictures Releasing
26,Unhinged,"$20,831,465 ","2,402","$20,831,465 ",14-Aug,Solstice Studios
27,The Photograph,"$20,578,185 ","2,516","$20,578,185 ",14-Feb,Universal Pictures
28,The War with Grandpa,"$18,702,194 ","2,365","$21,277,892 ",9-Oct,101 Studios
29,Underwater,"$17,291,078 ","2,791","$17,291,078 ",10-Jan,20th Century Fox
30,The Turning,"$15,472,775 ","2,571","$15,472,775 ",24-Jan,Universal Pictures
31,Gretel & Hansel,"$15,347,654 ","3,007","$15,347,654 ",31-Jan,United Artists Releasing
32,Honest Thief,"$13,656,185 ","2,502","$14,163,574 ",9-Oct,Open Road Films (II)
33,My Hero Academia: Heroes Rising,"$13,651,826 ","1,231","$13,304,000 ",26-Feb,FUNimation Entertainment
34,Bombshell,"$13,644,923 ","1,721","$31,762,808 ",13-Dec,Lionsgate
35,The Way Back,"$13,590,514 ","2,718","$13,590,514 ",-,Warner Bros.
36,Brahms: The Boy II,"$12,611,536 ","2,151","$12,611,536 ",21-Feb,STX Entertainment
37,Jojo Rabbit,"$12,311,180 ","1,173","$33,370,906 ",18-Oct,Fox Searchlight Pictures
38,Impractical Jokers: The Movie,"$10,466,091 ","1,900","$10,691,091 ",21-Feb,truTV
39,Ford v Ferrari,"$10,427,913 ","3,746","$117,624,357 ",15-Nov,20th Century Fox
40,Emma.,"$10,055,355 ","1,732","$10,055,355 ",21-Feb,Focus Features
41,Bloodshot,"$10,021,787 ","2,861","$12,561,824 ",13-Mar,Sony Pictures Releasing
42,I Still Believe,"$9,868,521 ","3,250","$9,868,521 ",13-Mar,Lionsgate
43,Come Play,"$9,505,540 ","2,183","$10,475,990 ",30-Oct,Focus Features
44,Let Him Go,"$9,347,940 ","2,458","$9,358,025 ",6-Nov,Focus Features
45,Freaky,"$8,702,060 ","2,472","$9,030,855 ",13-Nov,Universal Pictures
46,Downhill,"$8,287,061 ","2,311","$8,287,061 ",14-Feb,Searchlight Pictures
47,Weathering with You,"$7,798,743 ","1,020","$8,056,636 ",15-Jan,GKIDS
48,Cats,"$7,196,675 ","3,380","$27,166,770 ",20-Dec,Universal Pictures
49,The Hunt,"$5,812,500 ","3,028","$5,812,500 ",13-Mar,Universal Pictures
50,The Rhythm Section,"$5,437,971 ","3,049","$5,437,971 ",31-Jan,Paramount Pictures
51,Monster Hunter,"$5,018,403 ","1,817","$15,162,470 ",18-Dec,Screen Gems
52,A Beautiful Day in the Neighborhood,"$4,997,062 ","3,491","$61,704,055 ",22-Nov,Sony Pictures Releasing
53,Hocus Pocus,"$4,828,000 ","2,570","$43,846 ",2-Oct,Walt Disney Studios Motion Pictures
,2020 Re-release,,,,,
54,Richard Jewell,"$4,523,325 ","2,502","$22,345,542 ",13-Dec,Warner Bros.
55,The SpongeBob Movie: Sponge on the Run,"$4,386,619 ",326,"$4,810,790 ",14-Aug,Paramount Pictures
56,The Broken Hearts Gallery,"$4,067,442 ","2,221","$4,067,442 ",11-Sep,TriStar Pictures
57,Infidel,"$4,051,990 ","1,885","$4,051,990 ",18-Sep,Cloudburst Entertainment
58,News of the World,"$3,717,170 ","1,986","$12,668,325 ",25-Dec,Universal Pictures
59,Portrait of a Lady on Fire,"$3,641,251 ",334,"$3,759,854 ",6-Dec,Neon
60,Bill & Ted Face the Music,"$3,498,714 ","1,007","$3,439,660 ",28-Aug,United Artists Releasing
61,2020 Oscar Nominated Short Films,"$3,306,611 ",536,"$3,306,611 ",31-Jan,Magnolia Pictures
62,Queen & Slim,"$3,089,365 ","1,715","$43,808,310 ",27-Nov,Universal Pictures
63,The Empty Man,"$2,992,498 ","2,051","$2,992,948 ",23-Oct,20th Century Studios
64,My Boyfriend's Meds,"$2,971,116 ",350,"$2,971,116 ",21-Feb,Pantelion Films
65,The Last Full Measure,"$2,949,212 ",617,"$2,949,212 ",24-Jan,Roadside Attractions
66,Words on Bathroom Walls,"$2,542,518 ","1,395","$2,542,518 ",21-Aug,Roadside Attractions
67,Star Wars: Episode V - The Empire Strikes Back,"$2,482,000 ","2,097","$2,482,000 ",10-Jul,Walt Disney Studios Motion Pictures
,2020 Re-release,,,,,
68,Fatale,"$2,388,133 ","1,222","$6,306,897 ",18-Dec,Lionsgate
69,The Nightmare Before Christmas,"$2,286,000 ","2,194","$2,286,000 ",16-Oct,Walt Disney Studios Motion Pictures
,2020 Re-release,,,,,
70,Ip Man 4: The Finale,"$2,180,071 ",125,"$3,956,031 ",25-Dec,Well Go USA Entertainment
71,Half Brothers,"$2,016,150 ","1,386","$2,241,980 ",4-Dec,Focus Features
72,Elf,"$1,975,000 ",850,"$2,182,679 ",13-Nov,New Line Cinema
,2020 Re-release,,,,,
