rank,movie,num_theaters,tot_gross,release_date,distrib
1,Finding Dory,4305,486295561,2016-06-17,Walt Disney Studios Motion Pictures
2,Rogue One: A Star Wars Story,4157,532177324,2016-12-16,Walt Disney Studios Motion Pictures
3,Captain America: Civil War,4226,408084349,2016-05-06,Walt Disney Studios Motion Pictures
4,The Secret Life of Pets,4381,368623860,2016-07-08,Universal Pictures
5,The Jungle Book,4144,364001123,2016-04-15,Walt Disney Studios Motion Pictures
6,Deadpool,3856,363070709,2016-02-12,20th Century Fox
7,Zootopia,3959,341268248,2016-03-04,Walt Disney Studios Motion Pictures
8,Batman v Superman: Dawn of Justice,4256,330360194,2016-03-25,Warner Bros.
9,Suicide Squad,4255,325100054,2016-08-05,Warner Bros.
10,Star Wars: Episode VII - The Force Awakens,4134,936662225,2016-12-18,Walt Disney Studios Motion Pictures
11,Doctor Strange,3882,232641920,2016-11-04,Walt Disney Studios Motion Pictures
12,Fantastic Beasts and Where to Find Them,4144,234037575,2016-11-18,Warner Bros.
13,Moana,3875,248757044,2016-11-23,Walt Disney Studios Motion Pictures
14,The Revenant,3711,183637894,2016-12-25,20th Century Fox
15,Jason Bourne,4039,162434410,2016-07-29,Universal Pictures
16,Star Trek Beyond,3928,158848340,2016-07-22,Paramount Pictures
17,X-Men: Apocalypse,4153,155442489,2016-05-27,20th Century Fox
18,Sing,4029,270395425,2016-12-21,Universal Pictures
19,Trolls,4066,153856089,2016-11-04,20th Century Fox
20,Kung Fu Panda 3,3987,143528619,2016-01-29,20th Century Fox
21,Ghostbusters,3963,128350574,2016-07-15,Sony Pictures Releasing
22,Central Intelligence,3508,127440871,2016-06-17,Warner Bros.
23,The Legend of Tarzan,3591,126643061,2016-07-01,Warner Bros.
24,Sully,3955,125070033,2016-09-09,Warner Bros.
25,Bad Moms,3215,113257297,2016-07-29,STX Entertainment
26,The Angry Birds Movie,3932,107509366,2016-05-20,Sony Pictures Releasing
27,Independence Day: Resurgence,4130,103144286,2016-06-24,20th Century Fox
28,The Conjuring 2,3356,102470008,2016-06-10,Warner Bros.
29,Sausage Party,3135,97685686,2016-08-12,Sony Pictures Releasing
30,The Magnificent Seven,3696,93432655,2016-09-23,Sony Pictures Releasing
31,Arrival,3115,100546139,2016-11-11,Paramount Pictures
32,Ride Along 2,3192,91221830,2016-01-15,Universal Pictures
33,Don't Breathe,3384,89217875,2016-08-26,Screen Gems
34,Miss Peregrine's Home for Peculiar Children,3835,87242834,2016-09-30,20th Century Fox
35,The Accountant,3402,86260045,2016-10-14,Warner Bros.
36,Daddy's Home,3483,150357137,2016-12-25,Paramount Pictures
37,Teenage Mutant Ninja Turtles: Out of the Shadows,4071,82051601,2016-06-03,Paramount Pictures
38,The Purge: Election Year,2821,79213375,2016-07-01,Universal Pictures
39,Alice Through the Looking Glass,3763,77041381,2016-05-27,Walt Disney Studios Motion Pictures
40,Pete's Dragon,3702,76233151,2016-08-12,Walt Disney Studios Motion Pictures
41,The Girl on the Train,3241,75395035,2016-10-07,Universal Pictures
42,Boo! A Madea Halloween,2299,73206343,2016-10-21,Lionsgate
43,Storks,3922,72679278,2016-09-23,Warner Bros.
44,10 Cloverfield Lane,3427,72082998,2016-03-11,Paramount Pictures
45,Lights Out,2835,67268835,2016-07-22,Warner Bros.
46,The Divergent Series: Allegiant,3740,66184051,2016-03-18,Lionsgate
47,Now You See Me 2,3232,65075540,2016-06-10,Lionsgate
48,Hacksaw Ridge,2971,67209615,2016-11-04,Lionsgate
49,Ice Age: Collision Course,3997,64063008,2016-07-22,20th Century Fox
50,The Boss,3495,63285885,2016-04-08,Universal Pictures
51,London Has Fallen,3492,62524260,2016-03-04,Focus Features
52,Miracles from Heaven,3155,61705123,2016-03-16,TriStar Pictures
53,Deepwater Horizon,3403,61433527,2016-09-30,Lionsgate
54,My Big Fat Greek Wedding 2,3179,59689605,2016-03-25,Universal Pictures
55,Jack Reacher: Never Go Back,3780,58697076,2016-10-21,Paramount Pictures
56,Me Before You,2762,56245075,2016-06-03,Warner Bros.
57,The BFG,3392,55483770,2016-07-01,Walt Disney Studios Motion Pictures
58,Neighbors 2: Sorority Rising,3416,55455765,2016-05-20,Universal Pictures
59,Passengers,3478,100014699,2016-12-21,Sony Pictures Releasing
60,The Shallows,2962,55124043,2016-06-24,Sony Pictures Releasing
61,Barbershop: The Next Cut,2676,54030051,2016-04-15,Warner Bros.
62,13 Hours,2917,52853219,2016-01-15,Paramount Pictures
63,Office Christmas Party,3210,54767494,2016-12-09,Paramount Pictures
64,The Huntsman: Winter's War,3802,48390190,2016-04-22,Universal Pictures
65,Kubo and the Two Strings,3279,48023088,2016-08-19,Focus Features
66,Warcraft,3406,47365290,2016-06-10,Universal Pictures
67,How to Be Single,3357,46843513,2016-02-12,Warner Bros.
68,The Big Short,2529,70259870,2016-12-11,Paramount Pictures
69,Mike and Dave Need Wedding Dates,3008,46009673,2016-07-08,20th Century Fox
70,War Dogs,3258,43034523,2016-08-19,Warner Bros.
71,Almost Christmas,2379,42158780,2016-11-11,Universal Pictures
72,Money Monster,3104,41012075,2016-05-13,TriStar Pictures
73,The Hateful Eight,2938,54117416,2016-12-25,The Weinstein Company
74,Allied,3160,40098064,2016-11-23,Paramount Pictures
75,Nerve,2538,38583626,2016-07-27,Lionsgate
76,Sisters,2978,87044645,2016-12-18,Universal Pictures
77,Risen,2915,36880033,2016-02-19,Sony Pictures Releasing
78,Assassin's Creed,2996,54647948,2016-12-21,20th Century Fox
79,The Nice Guys,2865,36261763,2016-05-20,Warner Bros.
80,The Boy,2671,35819556,2016-01-22,STX Entertainment
81,Dirty Grandpa,2912,35593113,2016-01-22,Lionsgate
82,Ouija: Origin of Evil,3168,35144505,2016-10-21,Universal Pictures
83,The 5th Wave,2908,34916787,2016-01-22,Sony Pictures Releasing
84,Inferno,3576,34343574,2016-10-28,Sony Pictures Releasing
85,Mother's Day,3291,32492859,2016-04-29,Open Road Films (II)
86,Gods of Egypt,3117,31153464,2016-02-26,Lionsgate
87,La La Land,3236,151101803,2016-12-09,Lionsgate
88,Why Him?,3008,60323786,2016-12-23,20th Century Fox
89,"Hail, Caesar!",2248,30498085,2016-02-05,Universal Pictures
90,Alvin and the Chipmunks: The Road Chip,3705,85886987,2016-12-18,20th Century Fox
91,When the Bough Breaks,2246,29747603,2016-09-09,Screen Gems
92,Zoolander 2,3418,28848693,2016-02-12,Paramount Pictures
93,Joy,2924,56451232,2016-12-25,20th Century Fox
94,The Finest Hours,3143,27569558,2016-01-29,Walt Disney Studios Motion Pictures
95,Florence Foster Jenkins,1528,27383770,2016-08-12,Paramount Pictures
96,Manchester by the Sea,1213,47695371,2016-11-18,Roadside Attractions
97,Hell or High Water,1505,27007844,2016-08-12,Lionsgate
98,The Forest,2509,26594261,2016-01-08,Focus Features
99,Ben-Hur,3084,26410477,2016-08-19,Paramount Pictures
100,Fences,2368,57682904,2016-12-16,Paramount Pictures
101,The Witch,2204,25138705,2016-02-19,A24
102,Collateral Beauty,3028,31016021,2016-12-16,Warner Bros.
103,Bridget Jones's Baby,2930,24252420,2016-09-16,Universal Pictures
104,Kevin Hart: What Now?,2567,23591043,2016-10-14,Universal Pictures
105,Whiskey Tango Foxtrot,2413,23083334,2016-03-04,Paramount Pictures
106,Snowden,2443,21587519,2016-09-16,Open Road Films (II)
107,Mechanic: Resurrection,2258,21218403,2016-08-26,Lionsgate
108,Free State of Jones,2815,20810036,2016-06-24,STX Entertainment
109,Blair Witch,3121,20777061,2016-09-16,Lionsgate
110,God's Not Dead 2,2419,20774575,2016-04-01,Pure Flix Entertainment
111,Keanu,2681,20591853,2016-04-29,Warner Bros.
112,Middle School: The Worst Years of My Life,2822,20007149,2016-10-07,Lionsgate
113,Nine Lives,2264,19700032,2016-08-05,EuropaCorp
114,Race,2387,19206207,2016-02-19,Focus Features
115,Spotlight,1227,45055776,2016-11-06,Open Road Films (II)
116,Brooklyn,962,38322743,2016-11-04,Fox Searchlight Pictures
117,The Choice,2631,18730891,2016-02-05,Lionsgate
118,Eye in the Sky,1089,18704595,2016-03-11,Bleecker Street Media
119,Bad Santa 2,2945,17782178,2016-11-23,Broad Green Pictures
120,Masterminds,3042,17368022,2016-09-30,Relativity Media
121,Concussion,2841,34542474,2016-12-25,Sony Pictures Releasing
122,Norm of the North,2411,17062499,2016-01-15,Lionsgate
123,The Birth of a Nation,2105,15861566,2016-10-07,Fox Searchlight Pictures
124,Eddie the Eagle,2044,15789389,2016-02-26,20th Century Fox
125,The Infiltrator,1601,15436808,2016-07-13,Broad Green Pictures
126,Keeping Up with the Joneses,3022,14904426,2016-10-21,20th Century Fox
127,Criminal,2683,14708696,2016-04-15,Lionsgate
128,"Hello, My Name Is Doris",979,14444999,2016-03-11,Roadside Attractions
129,The Edge of Seventeen,1945,14431633,2016-11-18,STX Entertainment
130,Love & Friendship,826,14016568,2016-05-13,Roadside Attractions
131,Point Break,2910,28782481,2016-12-25,Warner Bros.
132,Hillary's America: The Secret History of the Democratic Party,1217,13099931,2016-07-15,Pure Flix / Quality Flix
133,Triple 9,2205,12639297,2016-02-26,Open Road Films (II)
134,The Light Between Oceans,1500,12545979,2016-09-02,Walt Disney Studios Motion Pictures
135,Moonlight,1564,27854932,2016-10-21,A24
136,The Good Dinosaur,3749,123087120,2016-11-25,Walt Disney Studios Motion Pictures
137,The Hunger Games: Mockingjay - Part 2,4175,281723902,2016-11-20,Lionsgate
138,Fifty Shades of Black,2075,11686940,2016-01-29,Open Road Films (II)
139,No Manches Frida,465,11528613,2016-09-02,Pantelion Films
140,Café Society,631,11103205,2016-07-15,Lionsgate
141,Pride and Prejudice and Zombies,2931,10938134,2016-02-05,Screen Gems
142,The Darkness,1769,10753574,2016-05-13,BH Tilt
143,Creed,3502,109767581,2016-11-25,Warner Bros.
144,Nocturnal Animals,1262,10663357,2016-11-18,Focus Features
145,The Lady in the Van,602,10021175,2016-12-04,Sony Pictures Classics
146,Room,862,14677654,2016-10-16,A24
147,The Perfect Match,925,9669521,2016-03-11,Lionsgate
148,Popstar: Never Stop Never Stopping,2313,9639125,2016-06-03,Universal Pictures
149,Hardcore Henry,3015,9252038,2016-04-08,STX Entertainment
150,Meet the Blacks,1015,9097072,2016-04-01,Freestyle Releasing
151,Carol,790,12711491,2016-11-20,The Weinstein Company
152,Queen of Katwe,1259,8874389,2016-09-23,Walt Disney Studios Motion Pictures
153,Ratchet & Clank,2895,8821329,2016-04-29,Focus Features
154,The Lobster,560,8700374,2016-05-13,A24
NA,2016 Re-release,NA,NA,NA,NA
155,Dangal,338,12391761,2016-12-21,UTV Motion Pictures
156,A Beautiful Planet,155,15650615,2016-04-29,IMAX
157,The Wild Life,2493,8005586,2016-09-09,Lionsgate
158,Loving,572,7751969,2016-11-04,Focus Features
159,Shut In,2058,6900335,2016-11-11,EuropaCorp
160,The Brothers Grimsby,2235,6874837,2016-03-11,Sony Pictures Releasing
161,The Danish Girl,794,11114018,2016-11-27,Focus Features
162,The Young Messiah,1769,6490401,2016-03-11,Focus Features
163,Jackie,508,13960394,2016-12-02,Fox Searchlight Pictures
164,Southside with You,897,6304223,2016-08-26,Roadside Attractions
165,Captain Fantastic,550,5879835,2016-07-08,Bleecker Street Media
166,Sultan,283,6200000,2016-07-06,Yash Raj Films
167,Lion,1802,51738905,2016-11-25,The Weinstein Company
168,Hunt for the Wilderpeople,200,5205468,2016-06-24,The Orchard
169,Bleed for This,1549,5083906,2016-11-18,Open Road Films (II)
170,Incarnate,1737,4799774,2016-12-02,BH Tilt
171,Absolutely Fabulous: The Movie,355,4772155,2016-07-22,Fox Searchlight Pictures
172,Hands of Stone,2011,4712792,2016-08-26,The Weinstein Company
173,Don't Think Twice,175,4417667,2016-07-22,The Film Arcade
174,The Meddler,464,4267218,2016-04-22,Sony Pictures Classics
NA,2016 Re-release,NA,NA,NA,NA
175,Ae Dil Hai Mushkil,302,4264983,2016-10-28,FIP
176,A Hologram for the King,523,4212494,2016-04-22,Roadside Attractions
177,Swiss Army Man,636,4210454,2016-06-24,A24
178,45 Years,251,4247285,2016-12-23,IFC Films
179,Denial,648,4073489,2016-09-30,Bleecker Street Media
180,Morgan,2020,3915251,2016-09-02,20th Century Fox
181,Kabali,236,3903095,2016-07-21,-
182,The Man Who Knew Infinity,288,3866794,2016-04-29,IFC Films
183,Where to Invade Next,308,3827261,2016-02-12,Drafthouse Films
184,Max Steel,2034,3818664,2016-10-14,Open Road Films (II)
185,Batman: The Killing Joke,1325,3775000,2016-07-25,Fathom Events
186,Midnight Special,521,3712282,2016-03-18,Warner Bros.
187,Anomalisa,573,3759286,2016-12-30,Paramount Pictures
188,Rules Don't Apply,2386,3652206,2016-11-23,20th Century Fox
189,Miss Sloane,1648,3500605,2016-11-25,EuropaCorp
190,Indignation,317,3401155,2016-07-29,Roadside Attractions
191,Everybody Wants Some!!,454,3400278,2016-03-30,Paramount Pictures
192,Maggie's Plan,335,3351735,2016-05-20,Sony Pictures Classics
193,A Man Called Ove,194,3479315,2016-09-30,Music Box Films
194,Sing Street,525,3237118,2016-04-15,The Weinstein Company
195,The Mermaid,106,3232685,2016-02-19,Sony Pictures Releasing
196,Green Room,777,3220371,2016-04-15,A24
197,Our Kind of Traitor,399,3153157,2016-07-01,Roadside Attractions
198,Compadres,368,3127773,2016-04-22,Pantelion Films
199,The Martian,3854,228433663,2016-10-02,20th Century Fox
200,The Other Side of the Door,585,3000342,2016-03-04,20th Century Fox
1,Star Wars: Episode VIII - The Last Jedi,4232,620181382,2017-12-15,Walt Disney Studios Motion Pictures
2,Beauty and the Beast,4210,504014165,2017-03-17,Walt Disney Studios Motion Pictures
3,Wonder Woman,4165,412563408,2017-06-02,Warner Bros.
4,Guardians of the Galaxy: Vol. 2,4347,389813101,2017-05-05,Walt Disney Studios Motion Pictures
5,Spider-Man: Homecoming,4348,334201140,2017-07-07,Sony Pictures Releasing
6,It,4148,327481748,2017-09-08,Warner Bros.
7,Thor: Ragnarok,4080,315058289,2017-11-03,Walt Disney Studios Motion Pictures
8,Despicable Me 3,4535,264624300,2017-06-30,Universal Pictures
9,Logan,4071,226277068,2017-03-03,20th Century Fox
10,The Fate of the Furious,4329,226008385,2017-04-14,Universal Pictures
11,Justice League,4051,229024295,2017-11-17,Warner Bros.
12,Dunkirk,4014,188045546,2017-07-21,Warner Bros.
13,Coco,3987,210460015,2017-11-22,Walt Disney Studios Motion Pictures
14,The Lego Batman Movie,4088,175750384,2017-02-10,Warner Bros.
15,Get Out,3143,176040665,2017-02-24,Universal Pictures
16,The Boss Baby,3829,175003033,2017-03-31,20th Century Fox
17,Pirates of the Caribbean: Dead Men Tell No Tales,4276,172558876,2017-05-26,Walt Disney Studios Motion Pictures
18,Jumanji: Welcome to the Jungle,3849,404515480,2017-12-20,Sony Pictures Releasing
19,Kong: Skull Island,3846,168052812,2017-03-10,Warner Bros.
20,Hidden Figures,3416,169607287,2017-12-25,20th Century Fox
21,Cars 3,4256,152901115,2017-06-16,Walt Disney Studios Motion Pictures
22,War for the Planet of the Apes,4100,146880162,2017-07-14,20th Century Fox
23,Split,3373,138291365,2017-01-20,Universal Pictures
24,Transformers: The Last Knight,4132,130168683,2017-06-21,Paramount Pictures
25,Rogue One: A Star Wars Story,4157,532177324,2017-12-16,Walt Disney Studios Motion Pictures
26,Wonder,3519,132422809,2017-11-17,Lionsgate
27,La La Land,3236,151101803,2017-12-09,Lionsgate
28,Sing,4029,270395425,2017-12-21,Universal Pictures
29,Girls Trip,2648,115171585,2017-07-21,Universal Pictures
30,Fifty Shades Darker,3714,114581250,2017-02-10,Universal Pictures
31,Baby Driver,3226,107825862,2017-06-28,TriStar Pictures
32,Annabelle: Creation,3565,102092201,2017-08-11,Warner Bros.
33,Daddy's Home 2,3575,104029443,2017-11-10,Paramount Pictures
34,Murder on the Orient Express,3354,102826543,2017-11-10,20th Century Fox
35,Kingsman: The Golden Circle,4038,100229647,2017-09-22,20th Century Fox
36,John Wick: Chapter 2,3113,92029184,2017-02-10,Lionsgate
37,Blade Runner 2049,4058,92054159,2017-10-06,Warner Bros.
38,The Emoji Movie,4075,86089513,2017-07-28,Sony Pictures Releasing
39,Power Rangers,3693,85364450,2017-03-24,Lionsgate
40,The Mummy,4035,80227895,2017-06-09,Universal Pictures
41,The Hitman's Bodyguard,3377,75468583,2017-08-18,Lionsgate
42,Alien: Covenant,3772,74262031,2017-05-19,20th Century Fox
43,Captain Underpants: The First Epic Movie,3529,73921000,2017-06-02,20th Century Fox
44,A Bad Moms Christmas,3615,72110659,2017-11-01,STX Entertainment
45,A Dog's Purpose,3178,64508620,2017-01-27,Universal Pictures
46,Pitch Perfect 3,3468,104897530,2017-12-22,Universal Pictures
47,The Lego Ninjago Movie,4047,59281555,2017-09-22,Warner Bros.
48,Baywatch,3647,58060186,2017-05-25,Paramount Pictures
49,The Shack,2888,57386418,2017-03-03,Lionsgate
50,Happy Death Day,3535,55683845,2017-10-13,Universal Pictures
51,Ferdinand,3630,84410380,2017-12-15,20th Century Fox
52,Atomic Blonde,3326,51687870,2017-07-28,Focus Features
53,American Made,3098,51342000,2017-09-29,Universal Pictures
54,The Dark Tower,3451,50701325,2017-08-04,Sony Pictures Releasing
55,The Greatest Showman,3342,174340174,2017-12-20,20th Century Fox
56,Boo 2! A Madea Halloween,2388,47319572,2017-10-20,Lionsgate
57,Lion,1802,51738905,2017-11-25,The Weinstein Company
58,Snatched,3511,45852178,2017-05-12,20th Century Fox
59,The Great Wall,3328,45540830,2017-02-17,Universal Pictures
60,Smurfs: The Lost Village,3610,45020282,2017-04-07,Sony Pictures Releasing
61,Going in Style,3076,45018541,2017-04-07,Warner Bros.
62,All Eyez on Me,2471,44922302,2017-06-16,Lionsgate
63,xXx: Return of Xander Cage,3651,44898413,2017-01-20,Paramount Pictures
64,Passengers,3478,100014699,2017-12-21,Sony Pictures Releasing
65,47 Meters Down,2471,44307191,2017-06-16,Entertainment Studios Motion Pictures
66,The Big Sick,2597,42873127,2017-06-23,Lionsgate
67,Moana,3875,248757044,2017-11-23,Walt Disney Studios Motion Pictures
68,Ghost in the Shell,3440,40563557,2017-03-31,Paramount Pictures
69,Valerian and the City of a Thousand Planets,3553,41189488,2017-07-21,STX Entertainment
70,The Star,2976,40852824,2017-11-17,Sony Pictures Releasing
71,King Arthur: Legend of the Sword,3702,39175066,2017-05-12,Warner Bros.
72,Jigsaw,2941,38052832,2017-10-27,Lionsgate
73,American Assassin,3154,36249674,2017-09-15,Lionsgate
74,The Foreigner,2515,34393507,2017-10-13,STX Entertainment
75,"Everything, Everything",2801,34121140,2017-05-19,Warner Bros.
76,Wind River,2890,33800859,2017-08-04,The Weinstein Company
77,Geostorm,3246,33700160,2017-10-20,Warner Bros.
78,Monster Trucks,3119,33370166,2017-01-13,Paramount Pictures
79,Fist Fight,3185,32187017,2017-02-17,Warner Bros.
80,How to Be a Latin Lover,1203,32149404,2017-04-28,Pantelion Films
81,Lady Bird,1557,48958273,2017-11-03,A24
82,Fences,2368,57682904,2017-12-16,Paramount Pictures
83,Patriots Day,3120,31886361,2017-12-21,Lionsgate
84,Kidnap,2418,30971040,2017-08-04,Aviron Pictures
85,Underworld: Blood Wars,3070,30353973,2017-01-06,Screen Gems
86,The Mountain Between Us,3259,30348555,2017-10-06,20th Century Fox
87,Life,3146,30234022,2017-03-24,Sony Pictures Releasing
88,Why Him?,3008,60323786,2017-12-23,20th Century Fox
89,The Nut Job 2: Nutty by Nature,4003,28370522,2017-08-11,Open Road Films (II)
90,Rings,2931,27793018,2017-02-03,Paramount Pictures
91,Logan Lucky,3031,27780977,2017-08-18,Bleecker Street Media
92,Home Again,3036,27020284,2017-09-08,Open Road Films (II)
93,Resident Evil: The Final Chapter,3104,26830068,2017-01-27,Screen Gems
94,The House,3134,25584504,2017-06-30,Warner Bros.
95,Gifted,2215,24801212,2017-04-07,Fox Searchlight Pictures
96,"Three Billboards Outside Ebbing, Missouri",1726,54513740,2017-11-10,Fox Searchlight Pictures
97,The Bye Bye Man,2220,22395806,2017-01-13,STX Entertainment
98,Victoria & Abdul,1060,22245070,2017-09-22,Focus Features
99,Rough Night,3162,22105643,2017-06-16,Sony Pictures Releasing
100,My Little Pony: The Movie,2528,21885107,2017-10-06,Lionsgate
101,Leap!,2705,21858070,2017-08-25,The Weinstein Company
NA,2017 Re-release,NA,NA,NA,NA
102,Sleepless,1803,20783704,2017-01-13,Open Road Films (II)
103,Diary of a Wimpy Kid: The Long Haul,3174,20738724,2017-05-19,20th Century Fox
104,Manchester by the Sea,1213,47695371,2017-11-18,Roadside Attractions
105,The Circle,3163,20497844,2017-04-28,STX Entertainment
106,Baahubali 2: The Conclusion,425,20186659,2017-04-28,Great India Films
107,CHIPS,2464,18600152,2017-03-24,Warner Bros.
108,Assassin's Creed,2996,54647948,2017-12-21,20th Century Fox
109,Only the Brave,2577,18343983,2017-10-20,Sony Pictures Releasing
110,Darkest Hour,1733,56468410,2017-11-22,Focus Features
111,The Disaster Artist,1010,21120616,2017-12-01,A24
112,Mother!,2368,17800004,2017-09-15,Paramount Pictures
113,The Zookeeper's Wife,1057,17571660,2017-03-31,Focus Features
114,The Glass Castle,1461,17273059,2017-08-11,Lionsgate
115,Downsizing,2668,24449754,2017-12-22,Paramount Pictures
116,Flatliners,2552,16883115,2017-09-29,Sony Pictures Releasing
117,Detroit,3007,16790139,2017-07-28,Annapurna Pictures
118,The Shape of Water,2341,63859435,2017-12-01,Fox Searchlight Pictures
119,Moonlight,1564,27854932,2017-10-21,A24
120,The Case for Christ,1386,14682684,2017-04-07,Pure Flix Entertainment
121,Wish Upon,2250,14301505,2017-07-14,Broad Green Pictures
122,It Comes at Night,2533,13985117,2017-06-09,A24
123,Born in China,1508,13873211,2017-04-21,Walt Disney Studios Motion Pictures
124,Megan Leavey,1956,13406883,2017-06-09,Bleecker Street Media
125,Father Figures,2902,17501244,2017-12-22,Warner Bros.
126,The Founder,1115,12786053,2017-01-19,The Weinstein Company
127,All the Money in the World,2123,25113707,2017-12-25,TriStar Pictures
128,Battle of the Sexes,1822,12638526,2017-09-22,Fox Searchlight Pictures
129,Before I Fall,2346,12241122,2017-03-03,Open Road Films (II)
130,"Roman J. Israel, Esq.",1669,11962778,2017-11-17,Sony Pictures Releasing
131,Unforgettable,2417,11368012,2017-04-21,Warner Bros.
132,Fantastic Beasts and Where to Find Them,4144,234037575,2017-11-18,Warner Bros.
133,The Beguiled,941,10709995,2017-06-23,Focus Features
134,Live by Night,2822,10378555,2017-12-25,Warner Bros.
135,The Belko Experiment,1341,10166820,2017-03-17,BH Tilt
136,Thank You for Your Service,2083,9536300,2017-10-27,Universal Pictures
137,Marshall,821,10051659,2017-10-13,Open Road Films (II)
138,Rock Dog,2077,9420546,2017-02-24,Lionsgate
139,Arrival,3115,100546139,2017-11-11,Paramount Pictures
140,The Lost City of Z,866,8580410,2017-04-14,Bleecker Street Media
141,The Promise,2251,8224288,2017-04-21,Open Road Films (II)
142,A Cure for Wellness,2704,8106986,2017-02-17,20th Century Fox
143,The Space Between Us,2812,7885294,2017-02-03,STX Entertainment
144,Jackie,508,13960394,2017-12-02,Fox Searchlight Pictures
145,Gold,2166,7227038,2017-01-27,The Weinstein Company
146,Let There Be Light,774,7233471,2017-10-27,Atlas Distribution Company
147,I Am Not Your Negro,320,7123919,2017-02-03,Magnolia Pictures
148,Beatriz at Dinner,683,7115854,2017-06-09,Roadside Attractions
149,Birth of the Dragon,1633,6901965,2017-08-25,BH Tilt
150,Silence,1580,7100177,2017-12-23,Paramount Pictures
151,The Snowman,1815,6700035,2017-10-20,Universal Pictures
152,Collateral Beauty,3028,31016021,2017-12-16,Warner Bros.
153,Same Kind of Different as Me,1362,6423605,2017-10-20,Pure Flix Entertainment
154,Lowriders,365,6303560,2017-05-12,BH Tilt
155,Loving Vincent,218,6735118,2017-09-22,Good Deed Entertainment
156,Maudie,233,6170998,2017-04-14,Sony Pictures Classics
157,Just Getting Started,2161,6069605,2017-12-08,Broad Green Pictures
158,All Saints,846,5802208,2017-08-25,Affirm Films
159,Suburbicon,2046,5775178,2017-10-27,Paramount Pictures
160,Paris Can Wait,447,5617731,2017-05-12,Sony Pictures Classics
161,The Man Who Invented Christmas,720,5676486,2017-11-22,Bleecker Street Media
162,20th Century Women,650,5664764,2017-12-28,A24
163,Molly's Game,1708,28780744,2017-12-25,STX Entertainment
164,The Florida Project,229,5904366,2017-10-06,A24
165,Your Name.,311,5017246,2017-04-07,FUNimation Entertainment
166,Office Christmas Party,3210,54767494,2017-12-09,Paramount Pictures
167,A Beautiful Planet,155,15650615,2017-04-29,IMAX
168,Tiger Zinda Hai,299,5560921,2017-12-22,Yash Raj Films
169,Call Me by Your Name,914,18095701,2017-11-24,Sony Pictures Classics
170,The Book of Henry,650,4504974,2017-06-16,Focus Features
171,Stronger,645,4211129,2017-09-22,Roadside Attractions
172,The Hero,447,4077333,2017-06-09,The Orchard
173,Dangal,338,12391761,2017-12-21,UTV Motion Pictures
174,Sleight,591,3986245,2017-04-28,BH Tilt
175,A United Kingdom,317,3902185,2017-02-10,Fox Searchlight Pictures
176,Norman,373,3814868,2017-04-14,Sony Pictures Classics
177,Friend Request,2573,3759078,2017-09-22,Entertainment Studios Motion Pictures
178,A Monster Calls,1523,3740823,2017-12-23,Focus Features
179,Table 19,868,3614896,2017-03-03,Fox Searchlight Pictures
180,Their Finest,330,3603484,2017-04-07,STX Entertainment
181,Phoenix Forgotten,1626,3600146,2017-04-21,Cinelou Films
182,Trolls,4066,153856089,2017-11-04,20th Century Fox
183,An Inconvenient Sequel: Truth to Power,556,3496795,2017-07-28,Paramount Pictures
184,Til Death Do Us Part,562,3455267,2017-09-29,Novus Content
185,Raees,265,3262954,2017-01-25,Zee Cinema
186,Close Encounters of the Third Kind,901,3100479,2017-09-01,Sony Pictures Releasing
NA,2017 Re-release,NA,NA,NA,NA
187,Colossal,327,3029287,2017-04-07,Neon
