rank,movie,num_theaters,tot_gross,release_date,distrib,release_qtr,release_month,release_year,period,rpt,LN_RPT,RPT,QTR,Distrib,Period
44,10 Cloverfield Lane,3427,72082998,2016-03-11,Paramount Pictures,1,3,2016,prepan,21033.848263787568,9.953888241199602,0.02,1,P,Pre-Pandemic
67,12 Strong,3018,45819713,2018-01-19,Warner Bros.,1,1,2018,prepan,15182.14479787939,9.627875332001882,0.02,1,W,Pre-Pandemic
62,13 Hours,2917,52853219,2016-01-15,Paramount Pictures,1,1,2016,prepan,18119.03291052451,9.80471820678881,0.02,1,P,Pre-Pandemic
31,28 Years Later,3444,70446897,2025-06-20,Sony Pictures Releasing,2,6,2025,postpan,20454.964285714286,9.925980884369029,0.02,2,S,Post-Pandemic
63,65,3405,32062904,2023-03-10,Sony Pictures Releasing,1,3,2023,postpan,9416.418208516887,9.15021006262213,0.01,1,S,Post-Pandemic
57,80 for Brady,3939,39448525,2023-02-03,Paramount Pictures,1,2,2023,postpan,10014.857831937039,9.211825052486136,0.01,1,P,Post-Pandemic
49,A Beautiful Day in the Neighborhood,3491,61704055,2019-11-22,Sony Pictures Releasing,4,11,2019,prepan,17675.180464050416,9.7799167008428,0.02,4,S,Pre-Pandemic
96,A Dog's Journey,3279,22782371,2019-05-17,Universal Pictures,2,5,2019,prepan,6947.963098505642,8.846203816250986,0.01,2,U,Pre-Pandemic
45,A Dog's Purpose,3178,64508620,2017-01-27,Universal Pictures,1,1,2017,prepan,20298.495909376965,9.918302069150707,0.02,1,U,Pre-Pandemic
65,A Dog's Way Home,3090,42004346,2019-01-11,Sony Pictures Releasing,1,1,2019,prepan,13593.639482200648,9.517357277193035,0.01,1,S,Pre-Pandemic
39,A Madea Family Funeral,2442,73257045,2019-03-01,Lionsgate,1,3,2019,prepan,29998.789926289926,10.308912324040447,0.03,1,L,Pre-Pandemic
1,A Minecraft Movie,4289,424087780,2025-04-04,Warner Bros.,2,4,2025,postpan,98878.0088598741,11.501642135553837,0.1,2,W,Post-Pandemic
15,A Quiet Place,3808,188024361,2018-04-06,Paramount Pictures,2,4,2018,prepan,49376.14522058824,10.807222696275465,0.05,2,P,Pre-Pandemic
18,A Quiet Place: Day One,3708,139051884,2024-06-28,Paramount Pictures,2,6,2024,postpan,37500.50809061489,10.532109760949778,0.04,2,P,Post-Pandemic
56,A Simple Favor,3102,53548586,2018-09-14,Lionsgate,3,9,2018,prepan,17262.60025789813,9.756297605544166,0.02,3,L,Pre-Pandemic
12,A Star Is Born,3904,215288866,2018-10-05,Warner Bros.,4,10,2018,prepan,55145.71362704918,10.9177342995768,0.06,4,W,Pre-Pandemic
34,A Wrinkle in Time,3980,100478608,2018-03-09,Walt Disney Studios Motion Pictures,1,3,2018,prepan,25245.881407035176,10.136418308806533,0.03,1,D,Pre-Pandemic
58,Abigail,3393,25867515,2024-04-19,Universal Pictures,2,4,2024,postpan,7623.788682581786,8.93902872755507,0.01,2,U,Post-Pandemic
46,Abominable,4248,60716390,2019-09-27,Universal Pictures,3,9,2019,prepan,14292.93549905838,9.56752067313453,0.01,3,U,Pre-Pandemic
94,About My Father,2464,12089391,2023-05-26,Lionsgate,2,5,2023,postpan,4906.408685064935,8.498297524460407,0,2,L,Post-Pandemic
